member,image_type,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47
Nelly,surprised_flipped,7631,5779,9720,6782,7622,11922,3107,3452,5231,1220,589,922,510,413,161,475,8598,18318,20085,11810,2027,878,717,601,699,935,409,239,188,30,2,0,11407,30777,16768,2887,856,828,672,782,289,173,51,20,14,12,0,0
Nelly,surprised_grayscale,8020,6144,24547,11889,8643,2124,806,657,629,875,640,308,231,22,1,0,8020,6144,24547,11889,8643,2124,806,657,629,875,640,308,231,22,1,0,8020,6144,24547,11889,8643,2124,806,657,629,875,640,308,231,22,1,0
Nhial,neutral,437,1242,2948,5088,5523,6018,6331,7402,6857,4372,3500,2675,3724,3900,2792,2727,4714,7433,6825,6446,5979,5070,5973,4157,2494,4265,2531,815,1685,3568,2883,698,6881,10194,12221,6931,5927,6174,3294,2598,1070,625,529,421,490,3090,3609,1482
Nhial,smiling,300,1341,1764,2661,4387,7235,7599,6923,5227,4895,3728,4810,2883,2320,4058,5405,5129,5119,4364,5186,7961,6585,5980,4894,4933,4145,2729,865,640,1269,3658,2079,7085,7778,9474,10400,9145,5380,4023,2259,1112,668,470,438,519,844,4167,1774
Nhial,surprised,2082,4498,4491,5050,4755,5180,4779,4363,3902,4824,4789,4593,3498,2623,1627,4482,15848,7311,5776,5079,4296,4423,3708,3718,2709,2622,2645,1597,890,1157,3522,235,7935,13323,10192,8012,5928,4874,3319,2867,1814,1273,2611,2505,373,237,141,132
Nhial,neutral_rotated,10554,1198,2584,3739,4686,5115,5496,6492,6413,3838,3139,2077,2615,2820,2225,2545,14280,6205,5698,5551,5248,4520,5401,3532,2049,3778,2322,660,1009,2580,2028,675,15470,8443,10909,6008,5245,5843,2973,2412,936,476,371,294,325,1836,2735,1260
Nhial,neutral_flipped,437,1242,2948,5088,5523,6018,6331,7402,6857,4372,3500,2675,3724,3900,2792,2727,4714,7433,6825,6446,5979,5070,5973,4157,2494,4265,2531,815,1685,3568,2883,698,6881,10194,12221,6931,5927,6174,3294,2598,1070,625,529,421,490,3090,3609,1482
Nhial,neutral_grayscale,820,2719,8045,10123,7827,5346,5793,4784,2682,3772,3746,1028,2123,3578,2549,601,820,2719,8045,10123,7827,5346,5793,4784,2682,3772,3746,1028,2123,3578,2549,601,820,2719,8045,10123,7827,5346,5793,4784,2682,3772,3746,1028,2123,3578,2549,601
Nhial,smiling_rotated,10443,1328,1740,2570,3793,5966,5791,5556,4431,3891,3354,4228,1896,1992,3545,5012,15171,5084,4052,4513,6412,4819,5032,3703,4198,3048,2225,735,553,1080,3089,1822,17072,7385,8539,8495,7273,3949,2872,1746,777,437,397,356,445,733,3494,1566
Nhial,smiling_flipped,300,1341,1764,2661,4387,7235,7599,6923,5227,4895,3728,4810,2883,2320,4058,5405,5129,5119,4364,5186,7961,6585,5980,4894,4933,4145,2729,865,640,1269,3658,2079,7085,7778,9474,10400,9145,5380,4023,2259,1112,668,470,438,519,844,4167,1774
Nhial,smiling_grayscale,1057,2603,4895,6549,9376,7834,6365,4811,4928,3910,3703,1768,697,1411,3619,2010,1057,2603,4895,6549,9376,7834,6365,4811,4928,3910,3703,1768,697,1411,3619,2010,1057,2603,4895,6549,9376,7834,6365,4811,4928,3910,3703,1768,697,1411,3619,2010
Nhial,surprised_rotated,12016,4106,4079,4428,4252,4074,3981,3618,3490,4211,4242,3587,2573,1812,1154,3913,23860,6402,5138,4519,3863,3540,2812,2700,2356,2112,2024,1293,655,744,3367,151,17086,11726,8901,6984,4897,3449,2549,1836,1554,1028,2408,2464,338,198,66,52
Nhial,surprised_flipped,2082,4498,4491,5050,4755,5180,4779,4363,3902,4824,4789,4593,3498,2623,1627,4482,15848,7311,5776,5079,4296,4423,3708,3718,2709,2622,2645,1597,890,1157,3522,235,7935,13323,10192,8012,5928,4874,3319,2867,1814,1273,2611,2505,373,237,141,132
Nhial,surprised_grayscale,3220,7289,9946,10173,5765,5061,3387,3656,3263,2822,2809,2033,1081,1262,3555,214,3220,7289,9946,10173,5765,5061,3387,3656,3263,2822,2809,2033,1081,1262,3555,214,3220,7289,9946,10173,5765,5061,3387,3656,3263,2822,2809,2033,1081,1262,3555,214
